Hour,Cluster_1,Cluster_0
0,10.863762349306796,12.413621148728824
1,10.834241116665048,12.292295323731715
2,10.971951904863392,12.411639540675555
3,11.331545383189697,12.96716414430111
4,11.973254324756372,13.94713497983912
5,13.044321787056006,16.162491115466285
6,14.832454165140629,19.14082249422347
7,16.279001659519245,21.819545144710485
8,17.47028165010516,24.325201728953267
9,18.463662202596854,26.247125346472544
10,18.690399201420977,27.146999013140608
11,18.427839561012526,27.10595156391552
12,17.75134530002684,26.15891145234261
13,16.444046603481258,24.36393364489874
14,15.130098378580783,22.65578303170056
15,14.264452962672898,21.316781091163634
16,13.399666451280822,19.59216487391154
17,12.72431825401845,17.55495303621501
18,12.263824928956138,15.725971382715166
19,11.914224045868131,14.346308214136874
20,11.45636196828364,13.597682606861218
21,11.098915858950406,13.03253173866669
22,10.936036443304857,12.704902270200401
23,10.887841398739909,12.588688395657925
